"Accession","InterPro ID","InterPro Name","Name"
"WP_013725627.1","[nan, nan, nan, 'IPR000326', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_like_1', 'Coil', nan, 'PAP2', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_013993446.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000326', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'PROKAR_LIPOPROTEIN', 'SignalP-noTM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide N-region', 'Signal peptide C-region', 'PAP2', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_014643397.1","[nan, nan, nan, 'IPR002205', 'IPR002205', 'IPR002205', 'IPR005741', 'IPR005741', 'IPR006691', 'IPR013757', 'IPR013758', 'IPR013760', 'IPR035516', 'IPR035516', 'IPR050220']","Unintegrated-Unintegrated-Unintegrated-Topo_IIA_dom_A-Topo_IIA_dom_A-Topo_IIA_dom_A-TopoIV_A_Gpos-TopoIV_A_Gpos-GyrA/parC_rep-Topo_IIA_A_a_sf-Topo_IIA_A/C_ab-Topo_IIA-like_dom_sf-Gyrase/topoIV_suA_C-Gyrase/topoIV_suA_C-Type_II_DNA_Topoisomerases","['Coil', 'PRK05561.1', nan, 'TOP4c', 'topIV4', 'DNA_topoisoIV', 'ParC_type2', 'parC_Gpos', 'DNA_gyraseA_C', 'Topoisomerase, domain 3', 'Topoisomerase II, domain 5', 'Type II DNA topoisomerase', 'GyrA/ParC C-terminal domain-like', nan, 'DNA GYRASE/TOPOISOMERASE SUBUNIT A']"
"WP_014796187.1","['IPR029044', 'IPR029044']","Nucleotide-diphossugar_trans-Nucleotide-diphossugar_trans","['Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A', 'Nucleotide-diphospho-sugar transferases']"
"WP_014881715.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'TAT', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_014889274.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide N-region', 'Signal peptide C-region', 'TAT', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_015037188.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR016119', 'IPR036938', 'IPR049283', 'IPR052559', 'IPR055161']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-DUF6851-V-haloperoxidase-NapH1-like_2nd","['PAP2_haloperoxidase', 'SignalP-TM', 'Phosphatidic acid phosphatase type 2/haloperoxidase', 'disorder_prediction', 'disorder_prediction', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'TAT', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'DUF6851', 'PEROXIDASE-RELATED', 'VCPO_2nd']"
"WP_015350516.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000415', 'IPR000415', 'IPR000873', 'IPR001242', 'IPR009081', 'IPR009081', 'IPR010071', 'IPR023213', 'IPR025110', 'IPR029479', 'IPR036736', 'IPR036736', 'IPR041464', 'IPR044894', 'IPR045851']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Nitroreductase-like-Nitroreductase-like-AMP-dep_synth/lig_dom-Condensatn-PP-bd_ACP-PP-bd_ACP-AA_adenyl_dom-CAT-like_dom_sf-AMP-bd_C-Nitroreductase-ACP-like_sf-ACP-like_sf-TubC_N-TubC_N_sf-AMP-bd_C_sf","['NONRIBOSOMAL PEPTIDE SYNTHETASE', 'disorder_prediction', 'disorder_prediction', 'A_NRPS_TlmIV_like', 'Cyc_NRPS', 'McbC_SagB-like_oxidoreductase', 'Acetyl-CoA synthetase-like', 'CoA-dependent acyltransferases', 'CoA-dependent acyltransferases', nan, 'Nonribosomal peptide synthetase, condensation domain', nan, 'Luciferase; Domain 3', 'FMN-dependent nitroreductase-like', 'NADH Oxidase', 'AMP-binding', 'Condensation', 'CARRIER', 'PP-binding', 'AA-adenyl-dom', nan, 'AMP-binding_C', 'Nitroreductase', 'ACP-like', nan, 'TubC_N', nan, nan]"
"WP_015875928.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR036938', 'IPR036938', 'IPR036938', 'IPR036938', 'IPR052559', 'IPR052559', 'IPR052559', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxi_sf-P_Acid_Pase_2/haloperoxi_sf-P_Acid_Pase_2/haloperoxi_sf-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase-V-haloperoxidase-V-haloperoxidase-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED', 'PEROXIDASE-RELATED', 'PEROXIDASE-RELATED', 'PEROXIDASE-RELATED']"
"WP_017745370.1","[nan, nan, 'IPR000326', 'IPR011635', 'IPR013783', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-CARDB-Ig-like_fold-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'PAP2', 'CARDB', 'Immunoglobulins', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_017748541.1","[nan, nan, nan, nan, nan, 'IPR000326', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'Non cytoplasmic domain', 'Cytoplasmic domain', 'Transmembrane region', 'PAP2', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_019509575.1","[nan, nan, nan, 'IPR011049', 'IPR016119', 'IPR036938', 'IPR049283', 'IPR052559', 'IPR055161']","Unintegrated-Unintegrated-Unintegrated-Serralysin-like_metalloprot_C-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-DUF6851-V-haloperoxidase-NapH1-like_2nd","['PAP2_haloperoxidase', 'disorder_prediction', 'Phosphatidic acid phosphatase type 2/haloperoxidase', 'beta-Roll', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'DUF6851', 'PEROXIDASE-RELATED', 'VCPO_2nd']"
"WP_019852972.1","[nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR016119', 'IPR036938', 'IPR049283', 'IPR052559', 'IPR055161']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-DUF6851-V-haloperoxidase-NapH1-like_2nd","['SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide N-region', 'Signal peptide H-region', 'Signal peptide C-region', 'TAT', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'DUF6851', 'PEROXIDASE-RELATED', 'VCPO_2nd']"
"WP_020630101.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'SignalP-noTM', 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide N-region', 'Signal peptide C-region', 'TAT', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_020734497.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000326', 'IPR016119', 'IPR036938', 'IPR041067', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-VCPO_N-V-haloperoxidase","['PAP2_haloperoxidase', 'PROKAR_LIPOPROTEIN', 'SignalP-TM', 'Phosphatidic acid phosphatase type 2/haloperoxidase', 'SignalP-noTM', 'SignalP-noTM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide N-region', 'Signal peptide C-region', 'PAP2', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'VCPO_N', 'PEROXIDASE-RELATED']"
"WP_021008421.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000326', 'IPR000326', 'IPR036938']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxi_sf","['Phosphatidic acid phosphatase type 2/haloperoxidase', 'SPHINGOSINE-1-PHOSPHATE PHOSPHOHYDROLASE', 'SignalP-TM', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'Transmembrane region', 'Non cytoplasmic domain', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Cytoplasmic domain', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Non cytoplasmic domain', 'Non cytoplasmic domain', 'Transmembrane region', 'Non cytoplasmic domain', 'Non cytoplasmic domain', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Non cytoplasmic domain', 'PAP2', 'acid_phosph_2', 'Acid phosphatase/Vanadium-dependent haloperoxidase']"
"WP_022589135.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000873', 'IPR001031', 'IPR001242', 'IPR006162', 'IPR009081', 'IPR009081', 'IPR009081', 'IPR009081', 'IPR010071', 'IPR013968', 'IPR014030', 'IPR014031', 'IPR016039', 'IPR016039', 'IPR020806', 'IPR020841', 'IPR020841', 'IPR020845', 'IPR020845', 'IPR023213', 'IPR025110', 'IPR029058', 'IPR029058', 'IPR032821', 'IPR036291', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR042099', 'IPR045851', 'IPR045851']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-AMP-dep_synth/lig_dom-Thioesterase-Condensatn-Ppantetheine_attach_site-PP-bd_ACP-PP-bd_ACP-PP-bd_ACP-PP-bd_ACP-AA_adenyl_dom-PKS_KR-Ketoacyl_synth_N-Ketoacyl_synth_C-Thiolase-like-Thiolase-like-PKS_PP-bd-PKS_Beta-ketoAc_synthase_dom-PKS_Beta-ketoAc_synthase_dom-AMP-binding_CS-AMP-binding_CS-CAT-like_dom_sf-AMP-bd_C-AB_hydrolase_fold-AB_hydrolase_fold-PKS_assoc-NAD(P)-bd_dom_sf-ACP-like_sf-ACP-like_sf-ACP-like_sf-ACP-like_sf-ACP-like_sf-ACP-like_sf-ANL_N_sf-AMP-bd_C_sf-AMP-bd_C_sf","['NONRIBOSOMAL PEPTIDE SYNTHETASE', 'A_NRPS', 'PKS', 'PRK04813.1', 'PKS_KR', 'Acetyl-CoA synthetase-like', 'Acetyl-CoA synthetase-like', 'CoA-dependent acyltransferases', 'CoA-dependent acyltransferases', nan, nan, 'Nonribosomal peptide synthetase, condensation domain', nan, 'Luciferase; Domain 3', 'AMP-binding', 'Thioesterase', 'Condensation', 'PHOSPHOPANTETHEINE', 'CARRIER', 'CARRIER', 'CARRIER', 'PP-binding', 'AA-adenyl-dom', 'KR', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'Thiolase-like', nan, 'PKS_PP', 'PKS_KS', 'KS3_2', 'AMP_BINDING', 'AMP_BINDING', nan, 'AMP-binding_C', 'alpha/beta-Hydrolases', 'alpha/beta hydrolase', 'KAsynt_C_assoc', 'NAD(P)-binding Rossmann-fold domains', 'ACP-like', 'ACP-like', 'ACP-like', nan, nan, nan, nan, nan, nan]"
