Name,Sequence Name,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
Clavaminate synthase-like,NZ_JH992892,WP_017308070.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308070.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_JH992892,WP_017308070.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NZ_JH992892,WP_017308070.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308070.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cupin,NZ_JH992892,WP_017308068.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_017308068.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_017308068.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308068.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_JH992892,WP_017308068.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,NZ_JH992892,WP_017308068.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308068.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_JH992892,WP_017308068.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308068.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cupin,NZ_JH992892,WP_017308072.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_017308072.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_017308072.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308072.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_JH992892,WP_017308072.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,NZ_JH992892,WP_017308072.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308072.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_JH992892,WP_017308072.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308072.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
cupin_RmlC-like,NZ_JH992892,WP_017308076.1,CDD,cd02208,,Unintegrated,Unintegrated,cupin_RmlC-like
Cupin,NZ_JH992892,WP_017308076.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_017308076.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_017308076.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308076.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_JH992892,WP_017308076.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,NZ_JH992892,WP_017308076.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308076.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cupin,NZ_JH992892,WP_081594398.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
disorder_prediction,NZ_JH992892,WP_081594398.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_081594398.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_081594398.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_081594398.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_JH992892,WP_081594398.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Non cytoplasmic domain,NZ_JH992892,WP_081594398.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Non cytoplasmic domain,NZ_JH992892,WP_081594398.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_081594398.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Transmembrane region,NZ_JH992892,WP_081594398.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cupin,NZ_JH992892,WP_017308075.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_017308075.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_017308075.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308075.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Non cytoplasmic domain,NZ_JH992892,WP_017308075.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308075.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Cytoplasmic domain,NZ_JH992892,WP_017308075.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cupin,NZ_JH992892,WP_017308073.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JH992892,WP_017308073.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JH992892,WP_017308073.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
unknown,NZ_JH992892,WP_017308073.1,TMHMM,TMhelix,,Unintegrated,Unintegrated,unknown
Cytoplasmic domain,NZ_JH992892,WP_017308073.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Cytoplasmic domain,NZ_JH992892,WP_017308073.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308073.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
Non cytoplasmic domain,NZ_JH992892,WP_017308073.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Transmembrane region,NZ_JH992892,WP_017308073.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP012747,WP_148654362.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP012747,WP_148654362.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CADEPP010000002,WP_047838484.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEPP010000002,WP_047838484.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADEPP010000002,WP_047838484.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CADEQR010000001,WP_025100501.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEQR010000001,WP_025100501.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADEQR010000001,WP_025100501.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CADEWT010000002,WP_186069796.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEWT010000002,WP_186069796.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADEWT010000002,WP_186069796.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CADFEB010000003,WP_155122779.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADFEB010000003,WP_155122779.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CADFEB010000003,WP_155122779.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_CADFEB010000003,WP_155122779.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_CADFEB010000003,WP_155122779.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_CADFEB010000003,WP_155122779.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_CADFEB010000003,WP_155122779.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_CADFEB010000003,WP_155122779.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_CP009487,WP_143136102.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP009487,WP_143136102.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP009487,WP_143136102.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_CP009487,WP_143136102.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_CP009487,WP_143136102.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_CP009487,WP_143136102.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_CP009487,WP_143136102.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_CP009487,WP_143136102.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_CP111122,WP_041491776.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP111122,WP_041491776.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP111122,WP_041491776.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_LNJU01000004,WP_157382479.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_LNJU01000004,WP_157382479.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_LNJU01000004,WP_157382479.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_LNJU01000004,WP_157382479.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_LNJU01000004,WP_157382479.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_LNJU01000004,WP_157382479.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_LNJU01000004,WP_157382479.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_LNJU01000004,WP_157382479.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_MEBC01000001,WP_143135861.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MEBC01000001,WP_143135861.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MEBC01000001,WP_143135861.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_MEBC01000001,WP_143135861.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_MEBC01000001,WP_143135861.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_MEBC01000001,WP_143135861.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_MEBC01000001,WP_143135861.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_MEBC01000001,WP_143135861.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_MEBE01000001,WP_143136336.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MEBE01000001,WP_143136336.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MEBE01000001,WP_143136336.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_MEBE01000001,WP_143136336.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_MEBE01000001,WP_143136336.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_MEBE01000001,WP_143136336.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_MEBE01000001,WP_143136336.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_MEBE01000001,WP_143136336.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_MEBF01000045,WP_143134459.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MEBF01000045,WP_143134459.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MEBF01000045,WP_143134459.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_MEBF01000045,WP_143134459.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_MEBF01000045,WP_143134459.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_MEBF01000045,WP_143134459.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_MEBF01000045,WP_143134459.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_MEBF01000045,WP_143134459.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_MEBG01000002,WP_143135015.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MEBG01000002,WP_143135015.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MEBG01000002,WP_143135015.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_MEBG01000002,WP_143135015.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_MEBG01000002,WP_143135015.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_MEBG01000002,WP_143135015.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_MEBG01000002,WP_143135015.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_MEBG01000002,WP_143135015.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_MECO01000028,WP_141712897.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_MECO01000028,WP_141712897.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_MECO01000028,WP_141712897.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Non cytoplasmic domain,NZ_MECO01000028,WP_141712897.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Signal Peptide,NZ_MECO01000028,WP_141712897.1,PHOBIUS,SIGNAL_PEPTIDE,,Unintegrated,Unintegrated,Signal Peptide
Signal peptide N-region,NZ_MECO01000028,WP_141712897.1,PHOBIUS,SIGNAL_PEPTIDE_N_REGION,,Unintegrated,Unintegrated,Signal peptide N-region
Signal peptide H-region,NZ_MECO01000028,WP_141712897.1,PHOBIUS,SIGNAL_PEPTIDE_H_REGION,,Unintegrated,Unintegrated,Signal peptide H-region
Signal peptide C-region,NZ_MECO01000028,WP_141712897.1,PHOBIUS,SIGNAL_PEPTIDE_C_REGION,,Unintegrated,Unintegrated,Signal peptide C-region
Cupin,NZ_JAEDZX010000001,WP_198249627.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_JAEDZX010000001,WP_198249627.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_JAEDZX010000001,WP_198249627.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
disorder_prediction,NZ_JAEDZX010000001,WP_198249627.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NZ_JAEDZX010000001,WP_198249627.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
Cupin,NZ_CP002580,WP_158336038.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP002580,WP_158336038.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP002580,WP_158336038.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP007212,WP_158512003.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP007212,WP_158512003.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP007212,WP_158512003.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CP045094,WP_246797360.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CP045094,WP_246797360.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NZ_CP045094,WP_246797360.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NC_015376,WP_013690410.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NC_015376,WP_013690410.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
Clavaminate synthase-like,NC_015376,WP_013690410.1,SUPERFAMILY,SSF51197,,Unintegrated,Unintegrated,Clavaminate synthase-like
Cupin,NZ_CADEQD010000002,WP_103692179.1,GENE3D,G3DSA:2.60.120.650,,Unintegrated,Unintegrated,Cupin
HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED,NZ_CADEQD010000002,WP_103692179.1,PANTHER,PTHR12461,,Unintegrated,Unintegrated,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED
